------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
------------------------------


--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N
--------------------------------------------------------------------------------------------------------------
    1. CH4                   G      0           16.043000    300.00   3500.00       1       4       0       0
    2. CH3OH                 G      0           32.041999    300.00   3500.00       1       4       1       0
    3. HOCHO                 G      0           46.024999    200.00   3500.00       1       2       2       0
    4. C2H6                  G      0           30.069999    300.00   3500.00       2       6       0       0
    5. C2H5OH                G      0           46.068999    300.00   3500.00       2       6       1       0
    6. C2H5CHO               G      0           58.079999    300.00   3500.00       3       6       1       0
    7. CH3CO2H               G      0           60.051999    300.00   3500.00       2       4       2       0
    8. C6H5OH                G      0           94.112998    300.00   3500.00       6       6       1       0
    9. CRESOL                G      0          108.139997    300.00   3500.00       7       8       1       0
   10. C5H8O4                G      0          132.114997    300.00   3500.00       5       8       4       0
   11. VANILLIN              G      0          152.148996    300.00   3500.00       8       8       3       0
   12. C6H5OCH3              G      0          108.139997    300.00   3500.00       7       8       1       0
   13. C24H28O4              G      0          380.483991    300.00   3500.00      24      28       4       0
   14. U2ME12                G      0          210.316995    300.00   3500.00      13      22       2       0
   15. N2                    G      0           28.014000    200.00   3500.00       0       0       0       2
   16. H2                    G      0            2.016000    200.00   3500.00       0       2       0       0
   17. H                     G      0            1.008000    200.00   3500.00       0       1       0       0
   18. O2                    G      0           31.997999    200.00   3500.00       0       0       2       0
   19. O                     G      0           15.999000    200.00   3500.00       0       0       1       0
   20. H2O                   G      0           18.015000    200.00   3500.00       0       2       1       0
   21. OH                    G      0           17.007000    200.00   3500.00       0       1       1       0
   22. H2O2                  G      0           34.013999    200.00   3500.00       0       2       2       0
   23. HO2                   G      0           33.005999    200.00   3500.00       0       1       2       0
   24. CO                    G      0           28.009999    200.00   3500.00       1       0       1       0
   25. CO2                   G      0           44.008999    200.00   3500.00       1       0       2       0
   26. CH3                   G      0           15.035000    300.00   3500.00       1       3       0       0
   27. CH3O                  G      0           31.033999    300.00   3500.00       1       3       1       0
   28. CH2OH                 G      0           31.033999    300.00   3500.00       1       3       1       0
   29. CH2O                  G      0           30.025999    300.00   3500.00       1       2       1       0
   30. HCO                   G      0           29.017999    200.00   3500.00       1       1       1       0
