 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. C3H6O2                   1.178770e+03     2.447232e+03     1.800000e+03     1.588761e+02     4.096704e+00    -2.484543e-03     7.740982e-07    -9.790444e-11     1.058522e+03     2.097492e+00    -8.185321e-04     1.570572e-07    -1.220431e-11
    2. C5H4O2                   9.881664e+02     2.087789e+03     1.000000e+03    -1.611752e+02     4.940534e+00    -4.121871e-03     1.712902e-06    -2.826024e-10     1.380655e+03     1.056527e+00    -3.629961e-04     5.661112e-08    -3.297405e-12
    3. CH3COOH                  1.055999e+03     2.321219e+03     1.000000e+03     3.862188e+02     1.384463e+00     4.743063e-03    -7.047762e-06     2.855236e-09     1.062062e+03     1.871247e+00    -7.280960e-04     1.236653e-07    -7.659027e-12
    4. C24H28O4                 6.684556e+02     1.276150e+03     1.398000e+03     1.185461e+02     2.183316e+00    -1.123158e-03    -9.400335e-08     1.914498e-10     1.083628e+03     1.845983e-01     8.417077e-05    -5.080481e-08     6.887849e-12
    5. C2H3CHO                  1.283932e+03     2.538888e+03     1.000000e+03     6.968299e+02     7.414648e-01     6.504385e-03    -9.089255e-06     3.685464e-09     1.217056e+03     1.905589e+00    -6.885493e-04     1.114851e-07    -6.692889e-12
    6. C6H5OCH3                 1.141881e+03     2.645783e+03     1.393000e+03    -4.158682e+02     6.714712e+00    -5.686800e-03     2.461955e-06    -4.282148e-10     1.568005e+03     1.607597e+00    -5.555192e-04     8.687963e-08    -5.067543e-12
    7. U2ME12                   1.451959e+03     3.068943e+03     1.391000e+03     2.687447e+00     6.029972e+00    -4.403031e-03     1.722309e-06    -2.829941e-10     1.669689e+03     2.075431e+00    -7.165792e-04     1.119475e-07    -6.523004e-12
    8. MLINO                    1.472250e+03     3.242057e+03     1.833000e+03    -4.482561e+01     6.198218e+00    -4.115491e-03     1.398588e-06    -1.944330e-10     1.480215e+03     2.570331e+00    -9.218959e-04     1.482307e-07    -8.823497e-12
    9. C2H4O2                   1.105282e+03     2.148313e+03     1.000000e+03     8.513921e+02    -8.263347e-01     8.251927e-03    -9.922521e-06     3.793849e-09     9.568427e+02     1.706877e+00    -6.069467e-04     9.734107e-08    -5.801375e-12
   10. C2H2O2                   1.040597e+03     1.871932e+03     1.000000e+03     6.710658e+02     6.848197e-02     6.108639e-03    -8.295240e-06     3.318985e-09     1.249987e+03     9.069990e-01    -3.374936e-04     5.584180e-08    -3.402330e-12
   11. CH3CHO                   1.255397e+03     2.556187e+03     1.000000e+03     8.926273e+02    -6.026934e-01     8.971632e-03    -1.084461e-05     4.139228e-09     1.019959e+03     2.212583e+00    -7.976648e-04     1.290446e-07    -7.735389e-12
   12. C6H6O3                   1.024181e+03     2.109442e+03     1.382000e+03     3.947968e+01     4.077712e+00    -2.887784e-03     1.025414e-06    -1.453793e-10     1.278328e+03     1.227179e+00    -4.161141e-04     6.431196e-08    -3.722137e-12
   13. C2H5CHO                  1.295600e+03     2.832998e+03     1.000000e+03     6.077369e+02     9.567024e-01     7.062396e-03    -9.619840e-06     3.826003e-09     1.065198e+03     2.538169e+00    -9.077216e-04     1.460769e-07    -8.724770e-12
   14. CH3OH                    1.339083e+03     2.791930e+03     1.000000e+03     1.468306e+03    -4.229198e+00     1.795485e-02    -1.967874e-05     7.276713e-09     9.152780e+02     2.677349e+00    -9.416577e-04     1.498399e-07    -8.879173e-12
   15. CH2O                     1.178406e+03     2.064667e+03     1.000000e+03     1.327424e+03    -2.743704e+00     1.033479e-02    -1.050274e-05     3.648900e-09     8.776697e+02     1.714953e+00    -6.232008e-04     1.013419e-07    -6.096131e-12
   16. CO                       1.040366e+03     1.183965e+03     1.000000e+03     1.062545e+03    -1.811768e-01     3.018302e-04     2.692348e-07    -2.684685e-10     9.049097e+02     4.012457e-01    -1.442027e-04     2.340684e-08    -1.394572e-12
   17. CO2                      8.436543e+02     1.234312e+03     1.000000e+03     4.452642e+02     1.697339e+00    -1.345546e-03     4.642490e-07    -2.699484e-11     8.759594e+02     5.179336e-01    -1.881514e-04     3.030128e-08    -1.730941e-12
   18. H2                       1.430307e+04     1.496188e+04     1.000000e+03     9.668577e+03     3.291356e+01    -8.033251e-02     8.313311e-05    -3.042086e-08     1.209583e+04     3.409127e+00    -6.037981e-04     6.355466e-08    -2.840794e-12
   19. H2O                      1.864380e+03     2.292242e+03     1.000000e+03     1.937796e+03    -9.398604e-01     3.009333e-03    -2.532843e-06     8.178163e-10     1.235534e+03     1.372212e+00    -3.571175e-04     4.358390e-08    -1.970271e-12
   20. HCOOH                    8.972390e+02     1.647163e+03     1.000000e+03     7.042429e+02    -6.428971e-01     6.416821e-03    -7.921539e-06     3.090536e-09     8.334933e+02     1.165133e+00    -4.138398e-04     6.632791e-08    -3.951501e-12
   21. C6H10O5                  1.056392e+03     2.345463e+03     1.000000e+03    -4.006146e+02     6.431670e+00    -5.962329e-03     2.793356e-06    -5.166184e-10     1.435051e+03     1.354626e+00    -4.685077e-04     7.329029e-08    -4.274925e-12
   22. C2H5OH                   1.417143e+03     3.102053e+03     1.000000e+03     8.768899e+02    -6.750206e-01     1.255325e-02    -1.600028e-05     6.347217e-09     1.184378e+03     2.744035e+00    -9.727211e-04     1.556176e-07    -9.256702e-12
   23. C2H4                     1.528235e+03     3.354139e+03     1.000000e+03     1.173402e+03    -2.243700e+00     1.692263e-02    -2.049685e-05     7.998652e-09     1.183072e+03     3.106999e+00    -1.101684e-03     1.762321e-07    -1.048067e-11
   24. CH4                      2.224367e+03     4.595925e+03     1.000000e+03     2.668586e+03    -7.080587e+00     2.547014e-02    -2.509662e-05     8.634408e-09     8.568215e+02     5.196246e+00    -1.718871e-03     2.780383e-07    -1.630951e-11
   25. C5H8O4                   1.007444e+03     2.292931e+03     1.000000e+03    -4.305906e+02     6.331776e+00    -5.816143e-03     2.704886e-06    -4.969982e-10     1.367534e+03     1.370740e+00    -4.717154e-04     7.354468e-08    -4.279725e-12
   26. C9H10O2                  1.184744e+03     2.525211e+03     1.400000e+03    -1.216697e+02     5.514101e+00    -4.259842e-03     1.642864e-06    -2.502429e-10     1.549616e+03     1.424556e+00    -4.755257e-04     7.272516e-08    -4.178499e-12
   27. C6H5OH                   1.097490e+03     2.473733e+03     1.000000e+03    -2.570665e+01     3.609466e+00     2.145289e-03    -6.312090e-06     3.056774e-09     1.250552e+03     1.761171e+00    -6.345148e-04     1.026831e-07    -6.158986e-12
   28. C11H12O4                 1.231057e+03     2.406096e+03     1.280000e+03    -1.235306e+02     6.008977e+00    -5.669236e-03     2.696460e-06    -5.065754e-10     1.193812e+03     1.892283e+00    -8.449842e-04     1.838293e-07    -1.582720e-11
   29. N2                       1.039626e+03     1.166660e+03     1.000000e+03     1.047991e+03    -3.670217e-02    -1.492886e-04     7.227908e-07    -4.181308e-10     8.763149e+02     4.145954e-01    -1.462114e-04     2.332852e-08    -1.367506e-12
   30. O2                       9.181008e+02     1.090161e+03     1.000000e+03     9.828455e+02    -7.786810e-01     2.558754e-03    -2.515619e-06     8.428607e-10     9.512757e+02     1.705522e-01    -3.667677e-05     5.347519e-09    -3.375712e-13
   31. CELL                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   32. CELLA                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   33. HCE                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   34. HCE1                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   35. HCE2                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   36. LIGC                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   37. LIGCC                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   38. LIGH                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   39. LIGOH                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   40. LIGO                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   41. LIG                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   42. CH4S                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   43. H2S                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   44. CO2S                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   45. COH2S                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   46. CH3OHS                   1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   47. C2H4S                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   48. COS                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   49. CHAR                     9.613050e+02     3.390225e+03     1.000000e+03    -6.977500e+01     3.460000e+00     0.000000e+00     0.000000e+00     0.000000e+00    -6.977500e+01     3.460000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   50. ASH                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   51. ACQUA                    4.182944e+03     1.790598e+05     1.000000e+03     3.348746e+04    -3.057384e+02     1.182434e+00    -2.015003e-03     1.283879e-06     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           ENTHALPY COEFFICIENTS                                                                     

             H/(RT) = A + B*T + C*T^2 + D*T^3 + E*T^4 + F/T  [-]                                                         

    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. C3H6O2                  -3.657779e+08    -2.662024e+08     1.800000e+03     1.415531e+00     1.825011e-02    -7.378807e-06     1.724237e-09    -1.744590e-13    -4.585341e+04     9.431066e+00     9.343965e-03    -2.430947e-06     3.498315e-10    -2.174723e-14    -4.873900e+04
    2. C5H4O2                  -1.512395e+08    -3.895302e+07     1.000000e+03    -1.862600e+00     2.854732e-02    -1.587795e-05     4.948733e-09    -6.531717e-13    -1.978730e+04     1.595536e+01     6.104807e-03    -1.398306e-06     1.635548e-10    -7.621207e-15    -2.556646e+04
    3. CH3COOH                 -4.322561e+08    -3.564269e+08     1.000000e+03     2.789502e+00     4.999709e-03     1.141907e-05    -1.272578e-08     4.124444e-12    -5.347525e+04     7.670846e+00     6.757630e-03    -1.752914e-06     2.232961e-10    -1.106361e-14    -5.575610e+04
    4. C24H28O4                -1.066832e+06     2.760548e+08     1.398000e+03     5.424874e+00     4.995615e-02    -1.713255e-05    -1.075438e-09     1.752214e-12    -5.723476e+03     4.958867e+01     4.223767e-03     1.283933e-06    -5.812288e-10     6.303995e-14    -1.640476e+04
    5. C2H3CHO                 -6.807541e+07     1.146275e+07     1.000000e+03     4.698689e+00     2.499830e-03     1.461958e-05    -1.532210e-08     4.970180e-12    -1.008753e+04     8.206549e+00     6.424646e-03    -1.547618e-06     1.879347e-10    -9.025962e-15    -1.188383e+04
    6. C6H5OCH3                -7.157228e+07     8.490925e+07     1.393000e+03    -5.408887e+00     4.366662e-02    -2.465466e-05     8.005201e-09    -1.113894e-12    -1.028215e+04     2.039387e+01     1.045441e-02    -2.408408e-06     2.824946e-10    -1.318195e-14    -1.860614e+04
    7. U2ME12                  -3.916666e+08    -3.601878e+07     1.391000e+03     6.797983e-02     7.626504e-02    -3.712536e-05     1.089159e-08    -1.431685e-12    -5.299962e+04     4.223531e+01     2.624935e-02    -6.042034e-06     7.079370e-10    -3.300030e-14    -6.769682e+04
    8. MLINO                   -5.092265e+08     1.052776e+07     1.833000e+03    -1.587619e+00     1.097633e-01    -4.858706e-05     1.238369e-08    -1.377273e-12    -6.932881e+04     5.242580e+01     4.551758e-02    -1.088381e-05     1.312497e-09    -6.250156e-14    -8.690394e+04
    9. C2H4O2                  -3.065615e+08    -2.348011e+08     1.000000e+03     6.149261e+00    -2.984141e-03     1.986678e-05    -1.791659e-08     5.480288e-12    -3.883568e+04     6.910888e+00     6.164042e-03    -1.461244e-06     1.757638e-10    -8.380197e-15    -4.002116e+04
   10. C2H2O2                  -2.120898e+08    -1.488656e+08     1.000000e+03     4.684125e+00     2.390064e-04     1.421303e-05    -1.447546e-08     4.633387e-12    -2.719850e+04     8.725069e+00     3.165484e-03    -7.852494e-07     9.744571e-11    -4.749738e-15    -2.910241e+04
   11. CH3CHO                  -1.661973e+08    -1.045420e+08     1.000000e+03     4.729459e+00    -1.596643e-03     1.584497e-05    -1.436465e-08     4.386222e-12    -2.157288e+04     5.404111e+00     5.861529e-03    -1.408771e-06     1.709311e-10    -8.196973e-15    -2.259312e+04
   12. C6H6O3                  -3.339369e+08    -1.859184e+08     1.382000e+03     5.988146e-01     3.092469e-02    -1.460031e-05     3.888283e-09    -4.410131e-13    -4.273131e+04     1.938925e+01     9.306723e-03    -2.103827e-06     2.438656e-10    -1.129123e-14    -4.926789e+04
   13. C2H5CHO                 -1.851648e+08    -9.620106e+07     1.000000e+03     4.245297e+00     3.341484e-03     1.644460e-05    -1.679965e-08     5.345247e-12    -2.414730e+04     7.440857e+00     8.865088e-03    -2.113605e-06     2.551020e-10    -1.218923e-14    -2.600558e+04
   14. CH3OH                   -2.010053e+08    -1.528930e+08     1.000000e+03     5.658511e+00    -8.149171e-03     2.306461e-05    -1.895932e-08     5.608551e-12    -2.561197e+04     3.527268e+00     5.158939e-03    -1.209643e-06     1.443620e-10    -6.843653e-15    -2.600288e+04
   15. CH2O                    -1.091687e+08    -7.437827e+07     1.000000e+03     4.793723e+00    -4.954167e-03     1.244067e-05    -9.482131e-09     2.635453e-12    -1.437920e+04     3.169527e+00     3.096603e-03    -7.501879e-07     9.149392e-11    -4.402989e-15    -1.454868e+04
   16. CO                      -1.105337e+08    -8.883940e+07     1.000000e+03     3.579534e+00    -3.051768e-04     3.389381e-07     2.267515e-10    -1.808849e-13    -1.434409e+04     3.048486e+00     6.758640e-04    -1.619313e-07     1.971341e-11    -9.396149e-16    -1.426612e+04
   17. CO2                     -3.935133e+08    -3.601107e+08     1.000000e+03     2.356813e+00     4.492065e-03    -2.374021e-06     6.143252e-10    -2.857710e-14    -4.837197e+04     4.636511e+00     1.370728e-03    -3.319659e-07     4.009667e-11    -1.832397e-15    -4.902490e+04
   18. H2                      -4.325324e+03     2.068653e+07     1.000000e+03     2.344331e+00     3.990260e-03    -6.492717e-06     5.039302e-09    -1.475224e-12    -9.179352e+02     2.932866e+00     4.133040e-04    -4.880079e-08     3.852510e-12    -1.377610e-16    -8.130656e+02
   19. H2O                     -2.418296e+08    -2.158221e+08     1.000000e+03     4.198635e+00    -1.018201e-03     2.173447e-06    -1.371982e-09     3.543936e-13    -3.029373e+04     2.677039e+00     1.486591e-03    -2.579230e-07     2.360838e-11    -8.537998e-16    -2.988589e+04
   20. HCOOH                   -3.786402e+08    -3.355747e+08     1.000000e+03     3.898362e+00    -1.779390e-03     1.184018e-05    -1.096249e-08     3.421554e-12    -4.677857e+04     4.613832e+00     3.224818e-03    -7.636084e-07     9.179012e-11    -4.374735e-15    -4.533032e+04
   21. C6H10O5                 -8.406777e+08    -6.292576e+08     1.000000e+03    -7.812417e+00     6.271226e-02    -3.875729e-05     1.361836e-08    -2.014923e-12    -1.034283e+05     2.798504e+01     1.320833e-02    -3.045469e-06     3.573100e-10    -1.667313e-14    -1.143137e+05
   22. C2H5OH                  -2.349584e+08    -1.575784e+08     1.000000e+03     4.858696e+00    -1.870086e-03     2.318513e-05    -2.216370e-08     7.033767e-12    -2.999613e+04     6.562436e+00     7.602111e-03    -1.796560e-06     2.155625e-10    -1.025796e-14    -3.152562e+04
   23. C2H4                     5.249327e+07     1.031384e+08     1.000000e+03     3.959201e+00    -3.785257e-03     1.903300e-05    -1.728971e-08     5.397684e-12     5.089776e+03     3.991827e+00     5.241695e-03    -1.239071e-06     1.486571e-10    -7.072608e-15     4.268659e+03
   24. CH4                     -7.460492e+07    -3.592585e+07     1.000000e+03     5.149115e+00    -6.831100e-03     1.638180e-05    -1.210617e-08     3.332069e-12    -1.024660e+04     1.653262e+00     5.013155e-03    -1.105537e-06     1.341208e-10    -6.293935e-15    -1.000959e+04
   25. C5H8O4                  -6.341285e+08    -4.667673e+08     1.000000e+03    -6.841991e+00     5.030528e-02    -3.080575e-05     1.074501e-08    -1.579439e-12    -7.796232e+04     2.172982e+01     1.089038e-02    -2.498485e-06     2.921522e-10    -1.360078e-14    -8.665054e+04
   26. C9H10O2                 -2.059006e+08     4.644061e+06     1.400000e+03    -2.197615e+00     4.979824e-02    -2.564729e-05     7.418412e-09    -9.039846e-13    -2.790921e+04     2.798938e+01     1.286526e-02    -2.863005e-06     3.283931e-10    -1.509453e-14    -3.784610e+04
   27. C6H5OH                  -9.641438e+07     3.223168e+07     1.000000e+03    -2.909786e-01     2.042812e-02     8.094314e-06    -1.786194e-08     6.920043e-12    -1.341298e+04     1.415524e+01     9.967517e-03    -2.394065e-06     2.905725e-10    -1.394295e-14    -1.812874e+04
   28. C11H12O4                -4.750235e+08    -1.879091e+08     1.280000e+03    -3.093487e+00     7.523921e-02    -4.732351e-05     1.688137e-08    -2.537160e-12    -6.176670e+04     2.989575e+01     2.369353e-02    -7.053440e-06     1.150876e-09    -7.926982e-14    -7.021195e+04
   29. N2                      -4.368616e+03     2.146458e+07     1.000000e+03     3.531005e+00    -6.183049e-05    -1.676665e-07     6.088265e-10    -2.817625e-13    -1.046976e+03     2.952576e+00     6.984502e-04    -1.642105e-07     1.965025e-11    -9.215104e-16    -9.239487e+02
   30. O2                      -4.406652e+03     2.270681e+07     1.000000e+03     3.782456e+00    -1.498367e-03     3.282434e-06    -2.420324e-09     6.487457e-13    -1.063944e+03     3.660961e+00     3.281829e-04    -4.704988e-08     5.144948e-12    -2.598269e-16    -1.215977e+03
   31. CELL                    -9.600635e+08    -7.154579e+08     1.000000e+03     2.925162e+01     9.750540e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.250520e+05     2.925162e+01     9.750540e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.250520e+05
   32. CELLA                   -9.675242e+08    -7.229186e+08     1.000000e+03     2.925162e+01     9.750540e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.259493e+05     2.925162e+01     9.750540e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.259493e+05
   33. HCE                     -7.727642e+08    -5.734558e+08     1.000000e+03     2.383467e+01     7.944891e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.007505e+05     2.383467e+01     7.944891e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.007505e+05
   34. HCE1                    -7.291273e+08    -5.298189e+08     1.000000e+03     2.383467e+01     7.944891e-03     0.000000e+00     0.000000e+00     0.000000e+00    -9.550213e+04     2.383467e+01     7.944891e-03     0.000000e+00     0.000000e+00     0.000000e+00    -9.550213e+04
   35. HCE2                    -8.589772e+08    -6.596688e+08     1.000000e+03     2.383467e+01     7.944891e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.111195e+05     2.383467e+01     7.944891e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.111195e+05
   36. LIGC                    -7.725123e+08    -3.828822e+08     1.000000e+03     4.659465e+01     1.553155e-02     0.000000e+00     0.000000e+00     0.000000e+00    -1.081764e+05     4.659465e+01     1.553155e-02     0.000000e+00     0.000000e+00     0.000000e+00    -1.081764e+05
   37. LIGCC                   -6.511816e+08    -2.615515e+08     1.000000e+03     4.659465e+01     1.553155e-02     0.000000e+00     0.000000e+00     0.000000e+00    -9.358362e+04     4.659465e+01     1.553155e-02     0.000000e+00     0.000000e+00     0.000000e+00    -9.358362e+04
   38. LIGH                    -1.645530e+09    -9.870915e+08     1.000000e+03     7.874057e+01     2.624686e-02     0.000000e+00     0.000000e+00     0.000000e+00    -2.237073e+05     7.874057e+01     2.624686e-02     0.000000e+00     0.000000e+00     0.000000e+00    -2.237073e+05
   39. LIGOH                   -1.370691e+09    -7.998720e+08     1.000000e+03     6.826244e+01     2.275415e-02     0.000000e+00     0.000000e+00     0.000000e+00    -1.872191e+05     6.826244e+01     2.275415e-02     0.000000e+00     0.000000e+00     0.000000e+00    -1.872191e+05
   40. LIGO                    -1.890409e+09    -1.253198e+09     1.000000e+03     7.620204e+01     2.540068e-02     0.000000e+00     0.000000e+00     0.000000e+00    -2.523279e+05     7.620204e+01     2.540068e-02     0.000000e+00     0.000000e+00     0.000000e+00    -2.523279e+05
   41. LIG                     -6.406261e+08    -3.265164e+08     1.000000e+03     3.756340e+01     1.252113e-02     0.000000e+00     0.000000e+00     0.000000e+00    -8.935543e+04     3.756340e+01     1.252113e-02     0.000000e+00     0.000000e+00     0.000000e+00    -8.935543e+04
   42. CH4S                    -6.874179e+07    -4.453935e+07     1.000000e+03     2.894294e+00     9.647647e-04     0.000000e+00     0.000000e+00     0.000000e+00    -9.215912e+03     2.894294e+00     9.647647e-04     0.000000e+00     0.000000e+00     0.000000e+00    -9.215912e+03
   43. H2S                      1.013092e+07     1.317226e+07     1.000000e+03     3.637036e-01     1.212345e-04     0.000000e+00     0.000000e+00     0.000000e+00     1.099320e+03     3.637036e-01     1.212345e-04     0.000000e+00     0.000000e+00     0.000000e+00     1.099320e+03
   44. CO2S                    -2.895184e+08    -2.231265e+08     1.000000e+03     7.939599e+00     2.646533e-03     0.000000e+00     0.000000e+00     0.000000e+00    -3.742208e+04     7.939599e+00     2.646533e-03     0.000000e+00     0.000000e+00     0.000000e+00    -3.742208e+04
   45. COH2S                   -3.141847e+08    -2.688875e+08     1.000000e+03     5.416947e+00     1.805649e-03     0.000000e+00     0.000000e+00     0.000000e+00    -3.956234e+04     5.416947e+00     1.805649e-03     0.000000e+00     0.000000e+00     0.000000e+00    -3.956234e+04
   46. CH3OHS                  -2.031999e+08    -1.548614e+08     1.000000e+03     5.780650e+00     1.926883e-03     0.000000e+00     0.000000e+00     0.000000e+00    -2.633308e+04     5.780650e+00     1.926883e-03     0.000000e+00     0.000000e+00     0.000000e+00    -2.633308e+04
   47. C2H4S                    5.470294e+07     9.702515e+07     1.000000e+03     5.061181e+00     1.687060e-03     0.000000e+00     0.000000e+00     0.000000e+00     4.921203e+03     5.061181e+00     1.687060e-03     0.000000e+00     0.000000e+00     0.000000e+00     4.921203e+03
