 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. AR                       5.203258e+02     5.203271e+02     1.000000e+03     5.203066e+02     4.434004e-05     1.867613e-07    -4.816089e-10     2.709909e-13     5.203078e+02     3.249667e-05    -1.615331e-08     3.182925e-12    -2.191725e-16
    2. N2                       1.039619e+03     1.166151e+03     1.000000e+03     1.049484e+03    -4.697429e-02    -1.267275e-04     7.050185e-07    -4.146493e-10     8.719975e+02     4.209706e-01    -1.493721e-04     2.396798e-08    -1.412943e-12
    3. H2                       1.430297e+04     1.494359e+04     1.000000e+03     9.803073e+03     3.191817e+01    -7.783882e-02     8.063589e-05    -2.957473e-08     1.196885e+04     3.583931e+00    -6.840642e-04     7.871185e-08    -3.840167e-12
    4. H                        2.062101e+04     2.062112e+04     1.000000e+03     2.061920e+04     5.558024e-03     9.222393e-06    -3.053520e-08     1.767102e-11     2.061997e+04     1.934948e-03    -9.582388e-07     1.861749e-10    -1.261951e-14
    5. O2                       9.180628e+02     1.090204e+03     1.000000e+03     9.835019e+02    -7.847322e-01     2.577720e-03    -2.540852e-06     8.545663e-10     9.509754e+02     1.714646e-01    -3.745852e-05     5.577691e-09    -3.546958e-13
    6. O                        1.369578e+03     1.308430e+03     1.000000e+03     1.641723e+03    -1.670844e+00     3.374093e-03    -3.111649e-06     1.075107e-09     1.326032e+03    -1.990843e-02     4.381982e-07     2.085331e-09    -2.169569e-13
    7. H2O                      1.864404e+03     2.291436e+03     1.000000e+03     1.939107e+03    -9.488297e-01     3.030162e-03    -2.551831e-06     8.228276e-10     1.260519e+03     1.362146e+00    -3.855436e-04     5.819366e-08    -3.879306e-12
    8. OH                       1.757254e+03     1.805222e+03     1.000000e+03     1.943733e+03    -1.117372e+00     2.119036e-03    -1.759626e-06     6.194508e-10     1.391277e+03     5.364230e-01    -1.413469e-04     2.000027e-08    -1.131192e-12
    9. H2O2                     1.247050e+03     1.852968e+03     1.000000e+03     1.036079e+03    -6.101548e-02     3.907604e-03    -5.058000e-06     2.028300e-09     1.109811e+03     1.016809e+00    -3.199183e-04     4.908980e-08    -2.823535e-12
   10. HO2                      1.058986e+03     1.460895e+03     1.000000e+03     1.073759e+03    -1.122606e+00     5.168261e-03    -5.939830e-06     2.281311e-09     1.034242e+03     5.140095e-01    -9.216734e-05     4.684802e-09     1.256561e-13
   11. CO                       1.040371e+03     1.183493e+03     1.000000e+03     1.067161e+03    -2.140794e-01     3.806612e-04     1.936665e-07    -2.439171e-10     9.006016e+02     4.076435e-01    -1.473643e-04     2.405232e-08    -1.440654e-12
   12. CO2                      8.436484e+02     1.234536e+03     1.000000e+03     4.168932e+02     1.907592e+00    -1.882347e-03     1.033721e-06    -2.413232e-10     8.757447e+02     5.187153e-01    -1.886019e-04     3.041972e-08    -1.741937e-12
   13. HOCO                     9.685403e+02     1.523338e+03     1.000000e+03     5.396965e+02     1.408222e+00     6.092835e-04    -1.978745e-06     9.448811e-10     9.958925e+02     7.595098e-01    -2.737101e-04     4.430405e-08    -2.657834e-12
   14. CH4                      2.224367e+03     4.595925e+03     1.000000e+03     2.668586e+03    -7.080587e+00     2.547014e-02    -2.509662e-05     8.634408e-09     8.568215e+02     5.196246e+00    -1.718871e-03     2.780383e-07    -1.630951e-11
   15. CH3                      2.554859e+03     3.920695e+03     1.000000e+03     2.022446e+03     1.176024e+00     3.018528e-03    -3.659857e-06     1.363554e-09     1.646922e+03     3.206254e+00    -1.092510e-03     1.699379e-07    -9.908459e-12
   16. CH2                      2.496014e+03     3.158433e+03     1.000000e+03     2.203584e+03     7.551079e-01     1.288319e-03    -2.067848e-06     9.792706e-10     1.864971e+03     1.800002e+00    -5.906572e-04     8.919869e-08    -5.081831e-12
   17. CH2(S)                   2.408214e+03     3.154302e+03     1.000000e+03     2.485574e+03    -1.381724e+00     4.834898e-03    -3.929830e-06     1.145384e-09     1.858272e+03     1.716559e+00    -4.840776e-04     6.731988e-08    -3.771429e-12
   18. CH3O2H                   1.389104e+03     2.395535e+03     1.000000e+03     5.028395e+02     3.028636e+00     9.142320e-04    -4.375685e-06     2.325512e-09     1.343955e+03     1.490999e+00    -5.157610e-04     8.110725e-08    -4.765300e-12
   19. CH3O2                    1.063207e+03     2.038499e+03     1.000000e+03     6.408199e+02     6.353413e-01     4.004725e-03    -5.221919e-06     1.979532e-09     8.492318e+02     1.760447e+00    -6.811326e-04     1.210480e-07    -8.103617e-12
   20. CH3OH                    1.339083e+03     2.791930e+03     1.000000e+03     1.468306e+03    -4.229198e+00     1.795485e-02    -1.967874e-05     7.276713e-09     9.152780e+02     2.677349e+00    -9.416577e-04     1.498399e-07    -8.879173e-12
   21. CH3O                     1.370430e+03     2.656079e+03     1.000000e+03     9.944468e+02    -7.514022e-01     1.008835e-02    -1.267429e-05     4.998977e-09     1.274682e+03     1.993666e+00    -7.225796e-04     1.173709e-07    -7.060544e-12
   22. CH2OH                    1.527096e+03     2.486230e+03     1.000000e+03     1.199808e+03    -3.618714e-01     7.460986e-03    -9.775331e-06     3.962639e-09     1.364521e+03     1.593445e+00    -5.532344e-04     8.653822e-08    -5.040145e-12
   23. CH2O                     1.178406e+03     2.064667e+03     1.000000e+03     1.327424e+03    -2.743704e+00     1.033479e-02    -1.050274e-05     3.648900e-09     8.776697e+02     1.714953e+00    -6.232008e-04     1.013419e-07    -6.096131e-12
   24. HCO                      1.192271e+03     1.681688e+03     1.000000e+03     1.137729e+03    -4.272748e-01     2.733594e-03    -2.529239e-06     7.668776e-10     1.105370e+03     7.567598e-01    -2.132274e-04     3.533266e-08    -2.547113e-12
   25. C2H6                     1.745360e+03     4.079992e+03     1.000000e+03     1.186595e+03    -1.521198e+00     1.657469e-02    -1.958935e-05     7.429259e-09     1.118917e+03     4.245403e+00    -1.512584e-03     2.427222e-07    -1.446577e-11
   26. C2H5                     1.743299e+03     3.713464e+03     1.000000e+03     1.213570e+03    -1.021084e+00     1.380882e-02    -1.674797e-05     6.460130e-09     1.236486e+03     3.545578e+00    -1.257901e-03     2.012728e-07    -1.197118e-11
   27. C2H4                     1.528235e+03     3.354139e+03     1.000000e+03     1.173402e+03    -2.243700e+00     1.692263e-02    -2.049685e-05     7.998652e-09     1.183072e+03     3.106999e+00    -1.101684e-03     1.762321e-07    -1.048067e-11
   28. C2H3                     1.555113e+03     2.905707e+03     1.000000e+03     1.034090e+03     8.170151e-02     8.596080e-03    -1.146634e-05     4.660175e-09     1.275872e+03     2.318007e+00    -8.085061e-04     1.278784e-07    -7.544300e-12
   29. C2H2                     1.689430e+03     2.608073e+03     1.000000e+03     2.582278e+02     7.459826e+00    -1.134137e-02     8.945853e-06    -2.714463e-09     1.487645e+03     1.559550e+00    -5.135593e-04     7.886399e-08    -4.425970e-12
   30. CH3CO                    1.179512e+03     2.254626e+03     1.000000e+03     7.795584e+02     1.694560e-01     5.931867e-03    -7.580959e-06     2.954704e-09     1.026384e+03     1.771984e+00    -6.416765e-04     1.042035e-07    -6.268417e-12
   31. CH2CHO                   1.261895e+03     2.316602e+03     1.000000e+03     5.398801e+02     1.952812e+00     3.124334e-03    -5.993736e-06     2.693313e-09     1.263111e+03     1.507089e+00    -5.339135e-04     8.539470e-08    -5.079158e-12
   32. CH2CO                    1.230511e+03     2.015696e+03     1.000000e+03     4.217678e+02     3.586302e+00    -3.443377e-03     1.849993e-06    -3.989898e-10     1.139011e+03     1.256206e+00    -4.469152e-04     7.166326e-08    -4.269388e-12
   33. HCCO                     1.217802e+03     1.726937e+03     1.000000e+03     3.801846e+02     4.482693e+00    -7.272430e-03     6.188934e-06    -2.052445e-09     1.198624e+03     7.526539e-01    -2.637206e-04     4.184150e-08    -2.461707e-12
   34. C3H4-P                   1.515355e+03     2.893907e+03     1.000000e+03     5.562455e+02     3.278812e+00     5.202759e-04    -2.834289e-06     1.372862e-09     1.250384e+03     2.352608e+00    -8.347332e-04     1.335960e-07    -7.948106e-12
   35. C3H4-A                   1.469119e+03     2.923069e+03     1.000070e+03     5.422703e+02     2.515729e+00     3.847476e-03    -7.164808e-06     3.182402e-09     1.310905e+03     2.310519e+00    -8.224060e-04     1.319113e-07    -7.860096e-12
   36. C3H3                     1.661010e+03     2.658109e+03     1.000000e+03     2.876243e+02     6.969938e+00    -1.008685e-02     8.010900e-06    -2.523506e-09     1.520437e+03     1.621939e+00    -5.693695e-04     9.045597e-08    -5.353414e-12
   37. C3H2                     1.437748e+03     2.307548e+03     1.000000e+03     5.319152e+02     3.780679e+00    -2.584960e-03     2.245431e-07     3.553708e-10     1.458237e+03     1.218748e+00    -4.352482e-04     6.998954e-08    -4.178455e-12
   38. CH3COCH2                 1.275941e+03     2.559583e+03     1.000000e+03     6.849863e+02     8.036698e-01     6.228065e-03    -8.663532e-06     3.506395e-09     1.099054e+03     2.089734e+00    -7.406286e-04     1.184701e-07    -7.046334e-12
   39. CH3CO2H                  1.055999e+03     2.321219e+03     1.000000e+03     3.862188e+02     1.384463e+00     4.743063e-03    -7.047762e-06     2.855236e-09     1.062062e+03     1.871247e+00    -7.280960e-04     1.236653e-07    -7.659027e-12
   40. CH2COOH                  1.107481e+03     2.080527e+03     1.000000e+03     1.774079e+01     4.884605e+00    -4.856790e-03     2.658188e-06    -6.232176e-10     1.310026e+03     9.831292e-01    -2.419385e-04     3.062496e-08    -1.612677e-12
   41. CH3CO2H(L)               1.055999e+03     2.321219e+03     1.000000e+03     3.862188e+02     1.384463e+00     4.743063e-03    -7.047762e-06     2.855236e-09     1.062062e+03     1.871247e+00    -7.280960e-04     1.236653e-07    -7.659027e-12

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           ENTHALPY COEFFICIENTS                                                                     

             H/(RT) = A + B*T + C*T^2 + D*T^3 + E*T^4 + F/T  [-]                                                         

    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. AR                      -3.117886e+03     1.458871e+07     1.000000e+03     2.499886e+00     1.065190e-07     2.991069e-10    -5.784894e-13     2.604028e-16    -7.453545e+02     2.499892e+00     7.806742e-08    -2.587029e-11     3.823202e-15    -2.106090e-19    -7.453284e+02
    2. N2                      -4.368615e+03     2.146391e+07     1.000000e+03     3.536035e+00    -7.913547e-05    -1.423281e-07     5.938565e-10    -2.794164e-13    -1.047496e+03     2.938030e+00     7.091902e-04    -1.677603e-07     2.018889e-11    -9.521286e-16    -9.171810e+02
    3. H2                      -4.325295e+03     2.068572e+07     1.000000e+03     2.376942e+00     3.869585e-03    -6.291169e-06     4.887928e-09    -1.434191e-12    -9.211731e+02     2.902076e+00     4.344963e-04    -5.528814e-08     4.771297e-12    -1.862244e-16    -7.979487e+02
    4. H                        2.179946e+08     2.325866e+08     1.000000e+03     2.499759e+00     3.369122e-07     3.726909e-10    -9.254803e-13     4.284676e-16     2.547377e+04     2.499852e+00     1.172913e-07    -3.872388e-11     5.642707e-15    -3.059840e-19     2.547380e+04
    5. O2                      -4.406504e+03     2.270475e+07     1.000000e+03     3.784983e+00    -1.510011e-03     3.306764e-06    -2.444601e-09     6.577554e-13    -1.064136e+03     3.659805e+00     3.299387e-04    -4.805272e-08     5.366401e-12    -2.730076e-16    -1.216030e+03
    6. O                        2.492254e+08     2.640874e+08     1.000000e+03     3.159065e+00    -1.607550e-03     2.164185e-06    -1.496888e-09     4.137522e-13     2.912985e+04     2.551601e+00    -1.915427e-05     2.810658e-10     1.003168e-12    -8.349531e-17     2.922876e+04
    7. H2O                     -2.418378e+08    -2.158323e+08     1.000000e+03     4.201476e+00    -1.027918e-03     2.188491e-06    -1.382267e-09     3.565652e-13    -3.029501e+04     2.731175e+00     1.475685e-03    -2.784533e-07     3.152215e-11    -1.681063e-15    -2.991691e+04
    8. OH                       3.748547e+07     5.840821e+07     1.000000e+03     3.975852e+00    -1.142776e-03     1.444810e-06    -8.998166e-10     2.534139e-13     3.393411e+03     2.845817e+00     5.486191e-04    -9.637370e-08     1.022750e-11    -4.627645e-16     3.717066e+03
    9. H2O2                    -1.354632e+08    -9.744328e+07     1.000000e+03     4.238542e+00    -1.248055e-04     5.328597e-06    -5.172999e-09     1.659533e-12    -1.764860e+04     4.540175e+00     2.079855e-03    -4.362559e-07     5.020590e-11    -2.310185e-15    -1.795140e+04
   10. HO2                      1.225174e+07     4.200428e+07     1.000000e+03     4.262512e+00    -2.228210e-03     6.838831e-06    -5.894850e-09     1.811229e-12     2.624424e+02     4.105640e+00     1.020234e-03    -1.219592e-07     4.649326e-12     9.976366e-17     4.328988e+01
   11. CO                      -1.105272e+08    -8.883326e+07     1.000000e+03     3.595084e+00    -3.605985e-04     4.274608e-07     1.631073e-10    -1.643430e-13    -1.434490e+04     3.033973e+00     6.866406e-04    -1.654817e-07     2.025704e-11    -9.706635e-16    -1.425860e+04
   12. CO2                     -3.934801e+08    -3.600706e+08     1.000000e+03     2.206643e+00     5.048504e-03    -3.321129e-06     1.367889e-09    -2.554679e-13    -4.835299e+04     4.635375e+00     1.372797e-03    -3.327608e-07     4.025340e-11    -1.844037e-15    -4.902037e+04
   13. HOCO                    -1.813255e+08    -1.400937e+08     1.000000e+03     2.922079e+00     3.812269e-03     1.099615e-06    -2.678380e-09     1.023174e-12    -2.302815e+04     5.392062e+00     2.056107e-03    -4.939830e-07     5.996886e-11    -2.878062e-15    -2.386067e+04
   14. CH4                     -7.460492e+07    -3.592585e+07     1.000000e+03     5.149115e+00    -6.831100e-03     1.638180e-05    -1.210617e-08     3.332069e-12    -1.024660e+04     1.653262e+00     5.013155e-03    -1.105537e-06     1.341208e-10    -6.293935e-15    -1.000959e+04
   15. CH3                      1.466941e+08     1.812659e+08     1.000000e+03     3.657180e+00     1.063299e-03     1.819463e-06    -1.654525e-09     4.931415e-13     1.642272e+04     2.978121e+00     2.898926e-03    -6.585267e-07     7.682448e-11    -3.583483e-15     1.650951e+04
   16. CH2                      3.911943e+08     4.191294e+08     1.000000e+03     3.717578e+00     6.369563e-04     7.244908e-07    -8.721462e-10     3.304177e-13     4.587239e+04     3.146319e+00     1.518356e-03    -3.321581e-07     3.762090e-11    -1.714671e-15     4.604126e+04
   17. CH2(S)                   4.287944e+08     4.559812e+08     1.000000e+03     4.193313e+00    -1.165526e-03     2.718922e-06    -1.657465e-09     3.864664e-13     5.036622e+04     3.135017e+00     1.447970e-03    -2.722227e-07     2.839317e-11    -1.272526e-15     5.050405e+04
   18. CH3O2H                  -1.267421e+08    -5.908941e+07     1.000000e+03     2.905409e+00     8.749737e-03     1.760812e-06    -6.320682e-09     2.687364e-12    -1.688946e+04     7.765381e+00     4.307499e-03    -9.933565e-07     1.171595e-10    -5.506785e-15    -1.829800e+04
   19. CH3O2                    1.218887e+07     6.574484e+07     1.000000e+03     3.624971e+00     1.796990e-03     7.551270e-06    -7.384799e-09     2.239551e-12     7.930404e+01     4.803909e+00     4.979223e-03    -1.284337e-06     1.711851e-10    -9.168059e-15    -7.471355e+02
   20. CH3OH                   -2.010053e+08    -1.528930e+08     1.000000e+03     5.658511e+00    -8.149171e-03     2.306461e-05    -1.895932e-08     5.608551e-12    -2.561197e+04     3.527268e+00     5.158939e-03    -1.209643e-06     1.443620e-10    -6.843653e-15    -2.600288e+04
   21. CH3O                     2.109359e+07     6.712996e+07     1.000000e+03     3.711805e+00    -1.402317e-03     1.255170e-05    -1.182680e-08     3.731768e-12     1.307725e+03     4.757792e+00     3.720712e-03    -8.990173e-07     1.095226e-10    -5.270742e-15     3.901392e+02
   22. CH2OH                   -1.720701e+07     2.824795e+07     1.000000e+03     4.478323e+00    -6.753484e-04     9.282790e-06    -9.121685e-09     2.958136e-12    -3.524767e+03     5.093120e+00     2.973793e-03    -6.883217e-07     8.075168e-11    -3.762501e-15    -4.058132e+03
   23. CH2O                    -1.091687e+08    -7.437827e+07     1.000000e+03     4.793723e+00    -4.954167e-03     1.244067e-05    -9.482131e-09     2.635453e-12    -1.437920e+04     3.169527e+00     3.096603e-03    -7.501879e-07     9.149392e-11    -4.402989e-15    -1.454868e+04
   24. HCO                      4.179776e+07     7.130317e+07     1.000000e+03     3.970747e+00    -7.456080e-04     3.180139e-06    -2.206801e-09     5.352903e-13     3.842033e+03     3.857811e+00     1.320570e-03    -2.480591e-07     3.082831e-11    -1.777917e-15     3.616429e+03
   25. C2H6                    -8.385893e+07    -1.944102e+07     1.000000e+03     4.291426e+00    -2.750775e-03     1.998128e-05    -1.771166e-08     5.373717e-12    -1.152221e+04     4.046664e+00     7.676940e-03    -1.823465e-06     2.194566e-10    -1.046335e-14    -1.244735e+04
   26. C2H5                     1.196917e+08     1.778991e+08     1.000000e+03     4.241859e+00    -1.784526e-03     1.608891e-05    -1.463503e-08     4.516090e-12     1.296903e+04     4.321956e+00     6.196527e-03    -1.465603e-06     1.758800e-10    -8.368705e-15     1.217595e+04
   27. C2H4                     5.249327e+07     1.031384e+08     1.000000e+03     3.959201e+00    -3.785257e-03     1.903300e-05    -1.728971e-08     5.397684e-12     5.089776e+03     3.991827e+00     5.241695e-03    -1.239071e-06     1.486571e-10    -7.072608e-15     4.268659e+03
   28. C2H3                     2.965720e+08     3.408883e+08     1.000000e+03     3.363776e+00     1.328829e-04     9.320690e-06    -9.324674e-09     3.031804e-12     3.447496e+04     4.150268e+00     3.770107e-03    -8.766595e-07     1.039935e-10    -4.908150e-15     3.385664e+04
   29. C2H2                     2.281921e+08     2.692476e+08     1.000000e+03     8.086797e-01     1.168079e-02    -1.183907e-05     7.003824e-09    -1.700150e-12     2.642898e+04     4.658785e+00     2.441983e-03    -5.360963e-07     6.174364e-11    -2.772119e-15     2.575940e+04
   30. CH3CO                   -1.030760e+07     4.387206e+07     1.000000e+03     4.035870e+00     4.386474e-04     1.023667e-05    -9.811891e-09     3.059374e-12    -2.682074e+03     5.313716e+00     4.586890e-03    -1.107346e-06     1.348686e-10    -6.490474e-15    -3.645041e+03
   31. CH2CHO                   1.274461e+07     7.013895e+07     1.000000e+03     2.795026e+00     5.054974e-03     5.391688e-06    -7.757579e-09     2.788723e-12     1.629450e+02     6.539283e+00     3.901193e-03    -9.213787e-07     1.105247e-10    -5.259086e-15    -1.188587e+03
   32. CH2CO                   -4.858648e+07     1.513887e+06     1.000000e+03     2.132411e+00     9.065973e-03    -5.803110e-06     2.338340e-09    -4.034497e-13    -7.148085e+03     5.758714e+00     3.175620e-03    -7.531845e-07     9.058038e-11    -4.317110e-15    -8.085335e+03
   33. HCCO                     1.782915e+08     2.223858e+08     1.000000e+03     1.876080e+00     1.106027e-02    -1.196231e-05     7.635064e-09    -2.025621e-12     2.016338e+04     5.914793e+00     1.857044e-03    -4.337900e-07     5.161834e-11    -2.429535e-15     1.935963e+04
   34. C3H4-P                   1.854205e+08     2.504894e+08     1.000000e+03     2.680387e+00     7.899826e-03     8.356865e-07    -3.414406e-09     1.323086e-12     2.080237e+04     6.025240e+00     5.668271e-03    -1.340780e-06     1.609402e-10    -7.659927e-15     1.962094e+04
   35. C3H4-A                   1.909101e+08     2.563481e+08     1.000070e+03     2.613044e+00     6.061288e-03     6.179960e-06    -8.631287e-09     3.067016e-12     2.154157e+04     6.316872e+00     5.566864e-03    -1.320979e-06     1.589106e-10    -7.575108e-15     2.011749e+04
   36. C3H3                     3.514942e+08     4.134978e+08     1.000000e+03     1.351109e+00     1.637056e-02    -1.579425e-05     9.407756e-09    -2.370823e-12     4.076799e+04     7.142217e+00     3.809511e-03    -8.915334e-07     1.062287e-10    -5.029509e-15     3.957096e+04
   37. C3H2                     5.263015e+08     5.789470e+08     1.000000e+03     2.434173e+00     8.650653e-03    -3.943135e-06     2.568910e-10     3.252526e-13     6.190749e+04     6.673248e+00     2.788644e-03    -6.639339e-07     8.007229e-11    -3.824325e-15     6.075712e+04
   38. CH3COCH2                -3.335073e+07     4.762996e+07     1.000000e+03     4.701872e+00     2.758269e-03     1.425020e-05    -1.486702e-08     4.813708e-12    -5.928455e+03     7.544107e+00     7.172161e-03    -1.694604e-06     2.033001e-10    -9.673466e-15    -7.486723e+03
   39. CH3CO2H                 -4.322561e+08    -3.564269e+08     1.000000e+03     2.789502e+00     4.999709e-03     1.141907e-05    -1.272578e-08     4.124444e-12    -5.347525e+04     7.670846e+00     6.757630e-03    -1.752914e-06     2.232961e-10    -1.106361e-14    -5.575610e+04
